;;;weiblich;männlich;
2001;Mundhöhle und Rachen (C00-C14);45 - 49;219;836;
2001;Mundhöhle und Rachen (C00-C14);50 - 54;405;1.340;
2001;Mundhöhle und Rachen (C00-C14);55 - 59;368;1.480;
2001;Mundhöhle und Rachen (C00-C14);60 - 64;405;1.688;
2001;Mundhöhle und Rachen (C00-C14);65 - 69;319;1.058;
2001;Mundhöhle und Rachen (C00-C14);70 - 74;360;685;
2001;Mundhöhle und Rachen (C00-C14);75 - 79;314;459;
2001;Mundhöhle und Rachen (C00-C14);80 - 84;196;223;
2001;Mundhöhle und Rachen (C00-C14);85+;231;134;
2001;Speiseröhre (C15);0 - 4;0;0;
2001;Speiseröhre (C15);5 - 9;0;0;
2001;Speiseröhre (C15);10 - 14;0;0;
2001;Speiseröhre (C15);15 - 19;0;0;
2001;Speiseröhre (C15);20 - 24;0;0;
2001;Speiseröhre (C15);25 - 29;0;0;
2001;Speiseröhre (C15);30 - 34;2;12;
2001;Speiseröhre (C15);35 - 39;1;28;
2001;Speiseröhre (C15);40 - 44;18;89;
2001;Speiseröhre (C15);45 - 49;44;173;
2001;Speiseröhre (C15);50 - 54;101;442;
2001;Speiseröhre (C15);55 - 59;130;499;
2001;Speiseröhre (C15);60 - 64;184;849;
2001;Speiseröhre (C15);65 - 69;150;728;
2001;Speiseröhre (C15);70 - 74;157;563;
2001;Speiseröhre (C15);75 - 79;183;286;
2001;Speiseröhre (C15);80 - 84;106;177;
2001;Speiseröhre (C15);85+;211;150;
2001;Magen (C16);0 - 4;0;0;
2001;Magen (C16);5 - 9;0;0;
2001;Magen (C16);10 - 14;0;0;
2001;Magen (C16);15 - 19;5;0;
2001;Magen (C16);20 - 24;1;3;
2001;Magen (C16);25 - 29;9;2;
2001;Magen (C16);30 - 34;49;37;
2001;Magen (C16);35 - 39;117;102;
2001;Magen (C16);40 - 44;162;182;
2001;Magen (C16);45 - 49;183;330;
2001;Magen (C16);50 - 54;354;604;
2001;Magen (C16);55 - 59;340;728;
2001;Magen (C16);60 - 64;561;1.329;
2001;Magen (C16);65 - 69;857;1.450;
2001;Magen (C16);70 - 74;1.096;1.854;
2001;Magen (C16);75 - 79;1.295;1.491;
2001;Magen (C16);80 - 84;1.125;826;
2001;Magen (C16);85+;1.775;997;
2001;Dünndarm (C17);0 - 4;1;0;
2001;Dünndarm (C17);5 - 9;0;0;
2001;Dünndarm (C17);10 - 14;0;0;
2001;Dünndarm (C17);15 - 19;0;0;
2001;Dünndarm (C17);20 - 24;2;8;
2001;Dünndarm (C17);25 - 29;0;1;
2001;Dünndarm (C17);30 - 34;2;14;
2001;Dünndarm (C17);35 - 39;23;23;
2001;Dünndarm (C17);40 - 44;7;26;
2001;Dünndarm (C17);45 - 49;26;41;
2001;Dünndarm (C17);50 - 54;19;28;
2001;Dünndarm (C17);55 - 59;45;43;
2001;Dünndarm (C17);60 - 64;69;103;
2001;Dünndarm (C17);65 - 69;46;66;
2001;Dünndarm (C17);70 - 74;54;117;
2001;Dünndarm (C17);75 - 79;103;66;
2001;Dünndarm (C17);80 - 84;60;28;
2001;Dünndarm (C17);85+;76;22;
2001;Darm (C18-C21);0 - 4;0;0;
2001;Darm (C18-C21);5 - 9;0;0;
2001;Darm (C18-C21);10 - 14;0;0;
2001;Darm (C18-C21);15 - 19;17;9;
2001;Darm (C18-C21);20 - 24;15;23;
2001;Darm (C18-C21);25 - 29;33;38;
2001;Darm (C18-C21);30 - 34;63;82;
2001;Darm (C18-C21);35 - 39;212;245;
2001;Darm (C18-C21);40 - 44;413;378;
2001;Darm (C18-C21);45 - 49;737;795;
2001;Darm (C18-C21);50 - 54;1.098;1.589;
2001;Darm (C18-C21);55 - 59;1.716;2.683;
2001;Darm (C18-C21);60 - 64;3.105;5.453;
2001;Darm (C18-C21);65 - 69;3.433;5.448;
2001;Darm (C18-C21);70 - 74;4.448;5.853;
2001;Darm (C18-C21);75 - 79;5.481;4.543;
2001;Darm (C18-C21);80 - 84;4.704;2.622;
2001;Darm (C18-C21);85+;5.589;2.108;
2001;Leber (C22);0 - 4;3;10;
2001;Leber (C22);5 - 9;2;6;
2001;Leber (C22);10 - 14;0;1;
2001;Leber (C22);15 - 19;0;0;
2001;Leber (C22);20 - 24;2;0;
2001;Leber (C22);25 - 29;2;2;
2001;Leber (C22);30 - 34;6;23;
2001;Leber (C22);35 - 39;17;29;
2001;Leber (C22);40 - 44;25;68;
2001;Leber (C22);45 - 49;112;112;
2001;Leber (C22);50 - 54;92;218;
2001;Leber (C22);55 - 59;118;381;
2001;Leber (C22);60 - 64;199;756;
2001;Leber (C22);65 - 69;225;918;
2001;Leber (C22);70 - 74;375;819;
2001;Leber (C22);75 - 79;372;527;
2001;Leber (C22);80 - 84;317;314;
2001;Leber (C22);85+;354;222;
2001;Gallenblase und Gallenwege (C23-C24);0 - 4;0;0;
2001;Gallenblase und Gallenwege (C23-C24);5 - 9;0;0;
2001;Gallenblase und Gallenwege (C23-C24);10 - 14;0;0;
2001;Gallenblase und Gallenwege (C23-C24);15 - 19;0;0;
2001;Gallenblase und Gallenwege (C23-C24);20 - 24;0;0;
2001;Gallenblase und Gallenwege (C23-C24);25 - 29;1;3;
2001;Gallenblase und Gallenwege (C23-C24);30 - 34;6;9;
2001;Gallenblase und Gallenwege (C23-C24);35 - 39;11;1;
2001;Gallenblase und Gallenwege (C23-C24);40 - 44;48;11;
2001;Gallenblase und Gallenwege (C23-C24);45 - 49;60;43;
2001;Gallenblase und Gallenwege (C23-C24);50 - 54;108;77;
2001;Gallenblase und Gallenwege (C23-C24);55 - 59;186;154;
2001;Gallenblase und Gallenwege (C23-C24);60 - 64;363;286;
2001;Gallenblase und Gallenwege (C23-C24);65 - 69;432;290;
2001;Gallenblase und Gallenwege (C23-C24);70 - 74;705;465;
2001;Gallenblase und Gallenwege (C23-C24);75 - 79;801;293;
2001;Gallenblase und Gallenwege (C23-C24);80 - 84;555;225;
2001;Gallenblase und Gallenwege (C23-C24);85+;916;218;
2001;Bauchspeicheldrüse (C25);0 - 4;1;0;
2001;Bauchspeicheldrüse (C25);5 - 9;0;0;
2001;Bauchspeicheldrüse (C25);10 - 14;0;0;
2001;Bauchspeicheldrüse (C25);15 - 19;0;1;
2001;Bauchspeicheldrüse (C25);20 - 24;1;0;
2001;Bauchspeicheldrüse (C25);25 - 29;9;2;
2001;Bauchspeicheldrüse (C25);30 - 34;1;20;
2001;Bauchspeicheldrüse (C25);35 - 39;22;43;
2001;Bauchspeicheldrüse (C25);40 - 44;51;81;
2001;Bauchspeicheldrüse (C25);45 - 49;110;243;
2001;Bauchspeicheldrüse (C25);50 - 54;172;358;
2001;Bauchspeicheldrüse (C25);55 - 59;329;582;
2001;Bauchspeicheldrüse (C25);60 - 64;599;1.033;
2001;Bauchspeicheldrüse (C25);65 - 69;795;1.029;
2001;Bauchspeicheldrüse (C25);70 - 74;933;1.024;
2001;Bauchspeicheldrüse (C25);75 - 79;1.216;929;
2001;Bauchspeicheldrüse (C25);80 - 84;916;494;
2001;Bauchspeicheldrüse (C25);85+;1.115;388;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);0 - 4;0;0;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);5 - 9;0;0;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);10 - 14;0;0;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);15 - 19;0;0;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);20 - 24;0;6;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);25 - 29;0;0;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);30 - 34;0;0;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);35 - 39;0;10;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);40 - 44;0;0;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);45 - 49;7;8;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);50 - 54;8;18;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);55 - 59;13;23;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);60 - 64;29;25;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);65 - 69;17;45;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);70 - 74;48;40;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);75 - 79;69;54;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);80 - 84;63;21;
2001;sonstg./n.n.bez. Verdauungsorgane (C26);85+;219;43;
2001;Nasenhöhle und Mittelohr (C30);0 - 4;0;0;
2001;Nasenhöhle und Mittelohr (C30);5 - 9;0;0;
2001;Nasenhöhle und Mittelohr (C30);10 - 14;0;0;
2001;Nasenhöhle und Mittelohr (C30);15 - 19;5;1;
2001;Nasenhöhle und Mittelohr (C30);20 - 24;0;1;
2001;Nasenhöhle und Mittelohr (C30);25 - 29;0;0;
2001;Nasenhöhle und Mittelohr (C30);30 - 34;1;1;
2001;Nasenhöhle und Mittelohr (C30);35 - 39;7;3;
2001;Nasenhöhle und Mittelohr (C30);40 - 44;1;7;
2001;Nasenhöhle und Mittelohr (C30);45 - 49;3;18;
2001;Nasenhöhle und Mittelohr (C30);50 - 54;2;22;
2001;Nasenhöhle und Mittelohr (C30);55 - 59;0;10;
2001;Nasenhöhle und Mittelohr (C30);60 - 64;5;29;
2001;Nasenhöhle und Mittelohr (C30);65 - 69;13;13;
2001;Nasenhöhle und Mittelohr (C30);70 - 74;16;17;
2001;Nasenhöhle und Mittelohr (C30);75 - 79;13;15;
2001;Nasenhöhle und Mittelohr (C30);80 - 84;12;4;
2001;Nasenhöhle und Mittelohr (C30);85+;0;7;
2001;Nasennebenhöhle (C31);0 - 4;0;0;
2001;Nasennebenhöhle (C31);5 - 9;2;0;
2001;Nasennebenhöhle (C31);10 - 14;1;0;
2001;Nasennebenhöhle (C31);15 - 19;0;0;
2001;Nasennebenhöhle (C31);20 - 24;0;6;
2001;Nasennebenhöhle (C31);25 - 29;0;1;
2001;Nasennebenhöhle (C31);30 - 34;1;0;
2001;Nasennebenhöhle (C31);35 - 39;0;16;
2001;Nasennebenhöhle (C31);40 - 44;14;12;
2001;Nasennebenhöhle (C31);45 - 49;1;13;
2001;Nasennebenhöhle (C31);50 - 54;16;11;
2001;Nasennebenhöhle (C31);55 - 59;23;29;
2001;Nasennebenhöhle (C31);60 - 64;11;46;
2001;Nasennebenhöhle (C31);65 - 69;20;83;
2001;Nasennebenhöhle (C31);70 - 74;7;26;
2001;Nasennebenhöhle (C31);75 - 79;23;4;
2001;Nasennebenhöhle (C31);80 - 84;19;11;
2001;Nasennebenhöhle (C31);85+;18;18;
2001;Kehlkopf (C32);0 - 4;0;0;
2001;Kehlkopf (C32);5 - 9;0;0;
2001;Kehlkopf (C32);10 - 14;0;0;
2001;Kehlkopf (C32);15 - 19;0;0;
2001;Kehlkopf (C32);20 - 24;0;0;
2001;Kehlkopf (C32);25 - 29;0;1;
2001;Kehlkopf (C32);30 - 34;1;10;
2001;Kehlkopf (C32);35 - 39;3;15;
2001;Kehlkopf (C32);40 - 44;18;82;
2001;Kehlkopf (C32);45 - 49;33;198;
2001;Kehlkopf (C32);50 - 54;28;346;
2001;Kehlkopf (C32);55 - 59;62;485;
2001;Kehlkopf (C32);60 - 64;53;687;
2001;Kehlkopf (C32);65 - 69;43;560;
2001;Kehlkopf (C32);70 - 74;31;376;
2001;Kehlkopf (C32);75 - 79;30;313;
2001;Kehlkopf (C32);80 - 84;11;119;
2001;Kehlkopf (C32);85+;15;50;
2001;Lunge (C33-C34);0 - 4;0;0;
2001;Lunge (C33-C34);5 - 9;0;0;
2001;Lunge (C33-C34);10 - 14;0;0;
2001;Lunge (C33-C34);15 - 19;1;5;
2001;Lunge (C33-C34);20 - 24;1;3;
2001;Lunge (C33-C34);25 - 29;16;17;
2001;Lunge (C33-C34);30 - 34;49;26;
2001;Lunge (C33-C34);35 - 39;99;155;
2001;Lunge (C33-C34);40 - 44;343;470;
2001;Lunge (C33-C34);45 - 49;606;1.116;
2001;Lunge (C33-C34);50 - 54;882;1.910;
2001;Lunge (C33-C34);55 - 59;1.191;3.556;
2001;Lunge (C33-C34);60 - 64;1.563;5.758;
2001;Lunge (C33-C34);65 - 69;1.580;6.450;
2001;Lunge (C33-C34);70 - 74;1.877;6.551;
2001;Lunge (C33-C34);75 - 79;1.737;4.212;
2001;Lunge (C33-C34);80 - 84;1.101;1.975;
2001;Lunge (C33-C34);85+;861;1.329;
2001;Thymus (C37);0 - 4;0;0;
2001;Thymus (C37);5 - 9;0;0;
2001;Thymus (C37);10 - 14;1;1;
2001;Thymus (C37);15 - 19;0;0;
2001;Thymus (C37);20 - 24;0;0;
2001;Thymus (C37);25 - 29;1;6;
2001;Thymus (C37);30 - 34;7;0;
2001;Thymus (C37);35 - 39;7;1;
2001;Thymus (C37);40 - 44;2;2;
2001;Thymus (C37);45 - 49;16;8;
2001;Thymus (C37);50 - 54;9;19;
2001;Thymus (C37);55 - 59;1;18;
2001;Thymus (C37);60 - 64;5;6;
2001;Thymus (C37);65 - 69;17;9;
2001;Thymus (C37);70 - 74;8;3;
2001;Thymus (C37);75 - 79;25;6;
2001;Thymus (C37);80 - 84;1;0;
2001;Thymus (C37);85+;0;0;
2001;Herz, Mediastinum u. Pleura (C38);0 - 4;1;2;
2001;Herz, Mediastinum u. Pleura (C38);5 - 9;0;0;
2001;Herz, Mediastinum u. Pleura (C38);10 - 14;0;0;
2001;Herz, Mediastinum u. Pleura (C38);15 - 19;0;1;
2001;Herz, Mediastinum u. Pleura (C38);20 - 24;0;13;
2001;Herz, Mediastinum u. Pleura (C38);25 - 29;2;7;
2001;Herz, Mediastinum u. Pleura (C38);30 - 34;0;13;
2001;Herz, Mediastinum u. Pleura (C38);35 - 39;1;1;
2001;Herz, Mediastinum u. Pleura (C38);40 - 44;15;2;
2001;Herz, Mediastinum u. Pleura (C38);45 - 49;9;4;
2001;Herz, Mediastinum u. Pleura (C38);50 - 54;8;5;
2001;Herz, Mediastinum u. Pleura (C38);55 - 59;12;14;
2001;Herz, Mediastinum u. Pleura (C38);60 - 64;2;37;
2001;Herz, Mediastinum u. Pleura (C38);65 - 69;12;46;
2001;Herz, Mediastinum u. Pleura (C38);70 - 74;16;35;
2001;Herz, Mediastinum u. Pleura (C38);75 - 79;32;28;
2001;Herz, Mediastinum u. Pleura (C38);80 - 84;16;17;
2001;Herz, Mediastinum u. Pleura (C38);85+;15;2;
2001;sonstg. Brustorgane (C39);0 - 4;0;0;
2001;sonstg. Brustorgane (C39);5 - 9;0;0;
2001;sonstg. Brustorgane (C39);10 - 14;0;0;
2001;sonstg. Brustorgane (C39);15 - 19;0;0;
2001;sonstg. Brustorgane (C39);20 - 24;0;0;
2001;sonstg. Brustorgane (C39);25 - 29;0;0;
2001;sonstg. Brustorgane (C39);30 - 34;0;0;
2001;sonstg. Brustorgane (C39);35 - 39;0;0;
2001;sonstg. Brustorgane (C39);40 - 44;0;0;
2001;sonstg. Brustorgane (C39);45 - 49;0;0;
2001;sonstg. Brustorgane (C39);50 - 54;0;0;
2001;sonstg. Brustorgane (C39);55 - 59;0;0;
2001;sonstg. Brustorgane (C39);60 - 64;0;4;
2001;sonstg. Brustorgane (C39);65 - 69;0;6;
2001;sonstg. Brustorgane (C39);70 - 74;7;0;
2001;sonstg. Brustorgane (C39);75 - 79;1;2;
2001;sonstg. Brustorgane (C39);80 - 84;1;0;
2001;sonstg. Brustorgane (C39);85+;2;0;
2001;Knochen u. Gelenkknorpel (C40-C41);0 - 4;3;3;
2001;Knochen u. Gelenkknorpel (C40-C41);5 - 9;13;7;
2001;Knochen u. Gelenkknorpel (C40-C41);10 - 14;28;29;
2001;Knochen u. Gelenkknorpel (C40-C41);15 - 19;64;27;
2001;Knochen u. Gelenkknorpel (C40-C41);20 - 24;29;9;
2001;Knochen u. Gelenkknorpel (C40-C41);25 - 29;2;7;
2001;Knochen u. Gelenkknorpel (C40-C41);30 - 34;1;22;
2001;Knochen u. Gelenkknorpel (C40-C41);35 - 39;9;31;
2001;Knochen u. Gelenkknorpel (C40-C41);40 - 44;15;17;
2001;Knochen u. Gelenkknorpel (C40-C41);45 - 49;4;15;
2001;Knochen u. Gelenkknorpel (C40-C41);50 - 54;33;15;
2001;Knochen u. Gelenkknorpel (C40-C41);55 - 59;12;20;
2001;Knochen u. Gelenkknorpel (C40-C41);60 - 64;40;29;
2001;Knochen u. Gelenkknorpel (C40-C41);65 - 69;27;21;
2001;Knochen u. Gelenkknorpel (C40-C41);70 - 74;32;19;
2001;Knochen u. Gelenkknorpel (C40-C41);75 - 79;11;16;
2001;Knochen u. Gelenkknorpel (C40-C41);80 - 84;8;11;
2001;Knochen u. Gelenkknorpel (C40-C41);85+;22;18;
2001;Malignes Melanom der Haut (C43);0 - 4;0;0;
2001;Malignes Melanom der Haut (C43);5 - 9;1;0;
2001;Malignes Melanom der Haut (C43);10 - 14;0;0;
2001;Malignes Melanom der Haut (C43);15 - 19;47;19;
2001;Malignes Melanom der Haut (C43);20 - 24;202;36;
2001;Malignes Melanom der Haut (C43);25 - 29;254;133;
2001;Malignes Melanom der Haut (C43);30 - 34;506;272;
2001;Malignes Melanom der Haut (C43);35 - 39;534;329;
2001;Malignes Melanom der Haut (C43);40 - 44;517;387;
2001;Malignes Melanom der Haut (C43);45 - 49;530;332;
2001;Malignes Melanom der Haut (C43);50 - 54;539;543;
2001;Malignes Melanom der Haut (C43);55 - 59;546;660;
2001;Malignes Melanom der Haut (C43);60 - 64;866;884;
2001;Malignes Melanom der Haut (C43);65 - 69;697;795;
2001;Malignes Melanom der Haut (C43);70 - 74;719;776;
2001;Malignes Melanom der Haut (C43);75 - 79;653;628;
2001;Malignes Melanom der Haut (C43);80 - 84;381;189;
2001;Malignes Melanom der Haut (C43);85+;454;163;
2001;Mesotheliom (C45);0 - 4;0;0;
2001;Mesotheliom (C45);5 - 9;0;0;
2001;Mesotheliom (C45);10 - 14;0;0;
2001;Mesotheliom (C45);15 - 19;0;0;
2001;Mesotheliom (C45);20 - 24;0;0;
2001;Mesotheliom (C45);25 - 29;0;1;
2001;Mesotheliom (C45);30 - 34;0;0;
2001;Mesotheliom (C45);35 - 39;7;6;
2001;Mesotheliom (C45);40 - 44;21;3;
2001;Mesotheliom (C45);45 - 49;8;16;
2001;Mesotheliom (C45);50 - 54;24;57;
2001;Mesotheliom (C45);55 - 59;31;132;
2001;Mesotheliom (C45);60 - 64;23;236;
2001;Mesotheliom (C45);65 - 69;60;228;
2001;Mesotheliom (C45);70 - 74;42;277;
2001;Mesotheliom (C45);75 - 79;60;204;
2001;Mesotheliom (C45);80 - 84;38;95;
2001;Mesotheliom (C45);85+;44;58;
2001;Kaposi-Syndrom (C46);0 - 4;0;0;
2001;Kaposi-Syndrom (C46);5 - 9;0;0;
2001;Kaposi-Syndrom (C46);10 - 14;0;0;
2001;Kaposi-Syndrom (C46);15 - 19;0;0;
2001;Kaposi-Syndrom (C46);20 - 24;0;0;
2001;Kaposi-Syndrom (C46);25 - 29;0;0;
2001;Kaposi-Syndrom (C46);30 - 34;0;1;
2001;Kaposi-Syndrom (C46);35 - 39;0;0;
2001;Kaposi-Syndrom (C46);40 - 44;0;0;
2001;Kaposi-Syndrom (C46);45 - 49;0;1;
2001;Kaposi-Syndrom (C46);50 - 54;0;1;
2001;Kaposi-Syndrom (C46);55 - 59;2;6;
2001;Kaposi-Syndrom (C46);60 - 64;0;3;
2001;Kaposi-Syndrom (C46);65 - 69;1;0;
2001;Kaposi-Syndrom (C46);70 - 74;0;8;
2001;Kaposi-Syndrom (C46);75 - 79;1;0;
2001;Kaposi-Syndrom (C46);80 - 84;0;0;
2001;Kaposi-Syndrom (C46);85+;0;0;
2001;periphere Nerven u. autonomes Nervensystem (C47);0 - 4;26;33;
2001;periphere Nerven u. autonomes Nervensystem (C47);5 - 9;2;4;
2001;periphere Nerven u. autonomes Nervensystem (C47);10 - 14;0;0;
2001;periphere Nerven u. autonomes Nervensystem (C47);15 - 19;2;0;
2001;periphere Nerven u. autonomes Nervensystem (C47);20 - 24;0;1;
2001;periphere Nerven u. autonomes Nervensystem (C47);25 - 29;0;1;
2001;periphere Nerven u. autonomes Nervensystem (C47);30 - 34;2;0;
2001;periphere Nerven u. autonomes Nervensystem (C47);35 - 39;1;9;
2001;periphere Nerven u. autonomes Nervensystem (C47);40 - 44;7;15;
2001;periphere Nerven u. autonomes Nervensystem (C47);45 - 49;1;11;
2001;periphere Nerven u. autonomes Nervensystem (C47);50 - 54;0;2;
2001;periphere Nerven u. autonomes Nervensystem (C47);55 - 59;5;1;
2001;periphere Nerven u. autonomes Nervensystem (C47);60 - 64;19;8;
2001;periphere Nerven u. autonomes Nervensystem (C47);65 - 69;8;9;
2001;periphere Nerven u. autonomes Nervensystem (C47);70 - 74;3;28;
2001;periphere Nerven u. autonomes Nervensystem (C47);75 - 79;7;1;
2001;periphere Nerven u. autonomes Nervensystem (C47);80 - 84;2;9;
2001;periphere Nerven u. autonomes Nervensystem (C47);85+;0;0;
2001;Retroperitoneum u. Peritoneum (C48);0 - 4;0;0;
2001;Retroperitoneum u. Peritoneum (C48);5 - 9;0;0;
2001;Retroperitoneum u. Peritoneum (C48);10 - 14;0;1;
2001;Retroperitoneum u. Peritoneum (C48);15 - 19;0;0;
2001;Retroperitoneum u. Peritoneum (C48);20 - 24;0;6;
2001;Retroperitoneum u. Peritoneum (C48);25 - 29;1;0;
2001;Retroperitoneum u. Peritoneum (C48);30 - 34;0;1;
2001;Retroperitoneum u. Peritoneum (C48);35 - 39;0;2;
2001;Retroperitoneum u. Peritoneum (C48);40 - 44;7;9;
2001;Retroperitoneum u. Peritoneum (C48);45 - 49;4;10;
2001;Retroperitoneum u. Peritoneum (C48);50 - 54;2;8;
2001;Retroperitoneum u. Peritoneum (C48);55 - 59;27;16;
2001;Retroperitoneum u. Peritoneum (C48);60 - 64;22;24;
2001;Retroperitoneum u. Peritoneum (C48);65 - 69;42;30;
2001;Retroperitoneum u. Peritoneum (C48);70 - 74;39;34;
2001;Retroperitoneum u. Peritoneum (C48);75 - 79;44;13;
2001;Retroperitoneum u. Peritoneum (C48);80 - 84;46;2;
2001;Retroperitoneum u. Peritoneum (C48);85+;26;13;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);0 - 4;21;21;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);5 - 9;9;11;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);10 - 14;12;15;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);15 - 19;50;18;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);20 - 24;37;16;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);25 - 29;33;18;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);30 - 34;47;36;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);35 - 39;43;51;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);40 - 44;40;58;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);45 - 49;86;64;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);50 - 54;71;98;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);55 - 59;108;114;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);60 - 64;136;173;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);65 - 69;92;167;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);70 - 74;132;161;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);75 - 79;210;101;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);80 - 84;134;72;
2001;sonstg. Bindegewebe u. a. Weichteile (C49);85+;113;67;
2001;Brustdrüse (C50);0 - 4;0;0;
2001;Brustdrüse (C50);5 - 9;0;0;
2001;Brustdrüse (C50);10 - 14;0;0;
2001;Brustdrüse (C50);15 - 19;12;0;
2001;Brustdrüse (C50);20 - 24;26;7;
2001;Brustdrüse (C50);25 - 29;152;0;
2001;Brustdrüse (C50);30 - 34;1.008;0;
2001;Brustdrüse (C50);35 - 39;2.228;13;
2001;Brustdrüse (C50);40 - 44;3.435;14;
2001;Brustdrüse (C50);45 - 49;5.051;6;
2001;Brustdrüse (C50);50 - 54;5.943;14;
2001;Brustdrüse (C50);55 - 59;6.377;60;
2001;Brustdrüse (C50);60 - 64;8.842;89;
2001;Brustdrüse (C50);65 - 69;6.667;54;
2001;Brustdrüse (C50);70 - 74;5.946;94;
2001;Brustdrüse (C50);75 - 79;5.862;54;
2001;Brustdrüse (C50);80 - 84;3.926;20;
2001;Brustdrüse (C50);85+;3.824;37;
2001;Vulva (C51);0 - 4;0;x;
2001;Vulva (C51);5 - 9;0;x;
2001;Vulva (C51);10 - 14;0;x;
2001;Vulva (C51);15 - 19;0;x;
2001;Vulva (C51);20 - 24;0;x;
2001;Vulva (C51);25 - 29;4;x;
2001;Vulva (C51);30 - 34;5;x;
2001;Vulva (C51);35 - 39;24;x;
2001;Vulva (C51);40 - 44;40;x;
2001;Vulva (C51);45 - 49;47;x;
2001;Vulva (C51);50 - 54;47;x;
2001;Vulva (C51);55 - 59;58;x;
2001;Vulva (C51);60 - 64;120;x;
2001;Vulva (C51);65 - 69;144;x;
2001;Vulva (C51);70 - 74;216;x;
2001;Vulva (C51);75 - 79;263;x;
2001;Vulva (C51);80 - 84;194;x;
2001;Vulva (C51);85+;257;x;
2001;Vagina (C52);0 - 4;0;x;
2001;Vagina (C52);5 - 9;0;x;
2001;Vagina (C52);10 - 14;1;x;
2001;Vagina (C52);15 - 19;0;x;
2001;Vagina (C52);20 - 24;0;x;
2001;Vagina (C52);25 - 29;6;x;
2001;Vagina (C52);30 - 34;0;x;
2001;Vagina (C52);35 - 39;6;x;
2001;Vagina (C52);40 - 44;1;x;
2001;Vagina (C52);45 - 49;13;x;
2001;Vagina (C52);50 - 54;26;x;
2001;Vagina (C52);55 - 59;45;x;
2001;Vagina (C52);60 - 64;22;x;
2001;Vagina (C52);65 - 69;35;x;
2001;Vagina (C52);70 - 74;70;x;
2001;Vagina (C52);75 - 79;60;x;
2001;Vagina (C52);80 - 84;34;x;
2001;Vagina (C52);85+;88;x;
2001;Gebärmutterhals (C53);0 - 4;0;x;
2001;Gebärmutterhals (C53);5 - 9;0;x;
2001;Gebärmutterhals (C53);10 - 14;1;x;
2001;Gebärmutterhals (C53);15 - 19;0;x;
2001;Gebärmutterhals (C53);20 - 24;26;x;
2001;Gebärmutterhals (C53);25 - 29;132;x;
2001;Gebärmutterhals (C53);30 - 34;410;x;
2001;Gebärmutterhals (C53);35 - 39;655;x;
2001;Gebärmutterhals (C53);40 - 44;579;x;
2001;Gebärmutterhals (C53);45 - 49;512;x;
2001;Gebärmutterhals (C53);50 - 54;513;x;
2001;Gebärmutterhals (C53);55 - 59;415;x;
2001;Gebärmutterhals (C53);60 - 64;468;x;
2001;Gebärmutterhals (C53);65 - 69;334;x;
2001;Gebärmutterhals (C53);70 - 74;432;x;
2001;Gebärmutterhals (C53);75 - 79;420;x;
2001;Gebärmutterhals (C53);80 - 84;223;x;
2001;Gebärmutterhals (C53);85+;276;x;
2001;Gebärmutterkörper (C54-C55);0 - 4;0;x;
2001;Gebärmutterkörper (C54-C55);5 - 9;0;x;
2001;Gebärmutterkörper (C54-C55);10 - 14;0;x;
2001;Gebärmutterkörper (C54-C55);15 - 19;8;x;
2001;Gebärmutterkörper (C54-C55);20 - 24;1;x;
2001;Gebärmutterkörper (C54-C55);25 - 29;3;x;
2001;Gebärmutterkörper (C54-C55);30 - 34;6;x;
2001;Gebärmutterkörper (C54-C55);35 - 39;105;x;
2001;Gebärmutterkörper (C54-C55);40 - 44;205;x;
2001;Gebärmutterkörper (C54-C55);45 - 49;371;x;
